685,483,1332
872,426,1202
1005,431,1064
1070,471,959
1104,488,908
1088,530,882
1047,551,902
976,573,951
894,567,1039
781,599,1120
666,567,1267
586,480,1434
510,417,1573
446,389,1665
408,305,1787
360,291,1849
317,281,1902
276,269,1955
242,254,2004
229,209,2062
235,171,2094
245,152,2103
270,134,2096
292,148,2060
321,151,2028
344,172,1984
380,177,1943
406,208,1886
426,221,1853
440,251,1809
450,266,1784
447,289,1764
429,305,1766
403,308,1789
384,297,1819
360,294,1846
339,278,1883
326,253,1921
320,228,1952
319,226,1955
322,219,1959
322,226,1952
329,214,1957
329,230,1941
344,227,1929
359,225,1916
374,226,1900
385,232,1883
390,243,1867
383,261,1856
368,266,1866
353,264,1883
338,261,1901
329,249,1922
319,238,1943
320,211,1969
326,203,1971
327,201,1972
338,201,1961
357,196,1947
378,205,1917
397,220,1883
421,226,1853
430,250,1820
436,269,1795
426,294,1780
413,298,1789
393,303,1804
370,297,1833
348,285,1867
328,266,1906
319,246,1935
314,230,1956
314,220,1966
325,197,1978
335,199,1966
347,211,1942
373,203,1924
385,212,1903
390,222,1888
397,230,1873
399,242,1859
392,256,1852
390,253,1857
394,253,1853
394,252,1854
383,253,1864
373,247,1880
367,242,1891
364,251,1885
358,246,1896
366,214,1920
378,218,1904
388,226,1886
396,237,1867
406,241,1853
421,239,1840
432,249,1819
441,255,1804
439,268,1793
430,284,1786
421,285,1794
406,282,1812
395,277,1828
386,261,1853
374,253,1873
370,239,1891
372,224,1904
367,226,1907
372,218,1910
377,217,1906
383,222,1895
384,228,1888
390,228,1882
400,236,1864
394,254,1852
392,256,1852
392,246,1862
391,249,1860
391,256,1853
396,250,1854
400,245,1855
407,243,1850
416,247,1837
414,259,1827
416,265,1819
416,262,1822
413,263,1824
409,272,1819
410,266,1824
408,264,1828
413,259,1828
418,265,1817
419,262,1819
424,256,1820
420,259,1821
413,265,1822
407,270,1823
401,262,1837
396,262,1842
395,251,1854
399,246,1855
394,251,1855
399,238,1863
399,242,1859
405,240,1855
418,250,1832
428,251,1821
434,262,1804
444,256,1800
451,265,1784
448,278,1774
447,280,1773
454,273,1773
457,271,1772
462,273,1765
464,272,1764
463,280,1757
459,281,1760
452,289,1759
442,292,1766
435,283,1782
433,276,1791
434,274,1792
432,279,1789
437,265,1798
438,265,1797
442,263,1795
452,264,1784
456,270,1774
459,276,1765
464,277,1759
473,281,1746
477,289,1734
480,289,1731
484,288,1728
487,290,1723
489,294,1717
487,301,1712
494,298,1708
497,296,1707
498,296,1706
491,297,1712
477,301,1722
459,311,1730
444,311,1745
430,299,1771
420,288,1792
417,267,1816
417,260,1823
419,255,1826
430,250,1820
438,255,1807
449,257,1794
461,265,1774
475,268,1757
485,279,1736
494,285,1721
504,287,1709
513,289,1698
517,299,1684
519,305,1676
522,313,1665
528,318,1654
536,324,1640
540,325,1635
547,328,1625
548,337,1615
546,346,1608
535,355,1610
527,354,1619
519,348,1633
505,351,1644
489,338,1673
478,320,1702
465,313,1722
449,313,1738
436,312,1752
429,295,1776
424,283,1793
427,262,1811
433,262,1805
437,262,1801
447,267,1786
455,268,1777
465,275,1760
473,281,1746
484,279,1737
484,291,1725
491,288,1721
497,292,1711
506,293,1701
511,301,1688
523,305,1672
534,315,1651
547,318,1635
554,326,1620
566,335,1599
570,345,1585
567,352,1581
560,363,1577
554,364,1582
543,371,1586
540,364,1596
529,356,1615
518,341,1641
506,342,1652
497,337,1666
477,352,1671
474,329,1697
470,309,1721
473,294,1733
467,296,1737
465,292,1743
458,297,1745
456,293,1751
450,294,1756
455,276,1769
460,280,1760
468,281,1751
477,282,1741
485,285,1730
491,293,1716
499,292,1709
503,302,1695
509,304,1687
517,308,1675
526,311,1663
529,326,1645
539,319,1642
540,330,1630
550,331,1619
553,348,1599
559,350,1591
558,357,1585
550,352,1598
539,354,1607
527,352,1621
508,359,1633
496,351,1653
489,326,1685
482,315,1703
479,308,1713
477,302,1721
472,300,1728
472,292,1736
472,284,1744
477,283,1740
480,288,1732
485,289,1726
485,298,1717
487,293,1720
483,306,1711
488,301,1711
492,302,1706
499,301,1700
506,304,1690
518,302,1680
527,308,1665
537,312,1651
544,319,1637
554,323,1623
565,337,1598
574,340,1586
571,354,1575
574,349,1577
567,360,1573
557,363,1580
545,358,1597
541,347,1612
533,346,1621
526,340,1634
517,340,1643
512,323,1665
507,320,1673
503,311,1686
497,309,1694
496,299,1705
495,301,1704
496,295,1709
497,299,1704
500,299,1701
502,300,1698
505,305,1690
505,310,1685
510,311,1679
517,306,1677
526,310,1664
534,311,1655
546,312,1642
559,320,1621
571,326,1603
577,336,1587
580,338,1582
578,351,1571
571,363,1566
561,376,1563
552,364,1584
547,344,1609
546,337,1617
539,331,1630
533,329,1638
527,330,1643
519,330,1651
510,324,1666
506,313,1681
501,314,1685
499,303,1698
498,300,1702
498,295,1707
499,295,1706
499,297,1704
498,301,1701
501,297,1702
504,297,1699
510,301,1689
518,301,1681
524,305,1671
529,309,1662
538,309,1653
543,314,1643
547,315,1638
547,318,1635
549,320,1631
547,330,1623
550,331,1619
554,326,1620
565,319,1616
576,320,1604
590,320,1590
592,336,1572
595,337,1568
590,348,1562
585,354,1561
572,362,1566
565,353,1582
558,348,1594
552,340,1608
545,338,1617
542,329,1629
531,329,1640
528,313,1659
524,311,1665
525,310,1665
524,312,1664
532,302,1666
537,306,1657
547,305,1648
553,312,1635
565,311,1624
566,321,1613
573,316,1611
572,325,1603
575,325,1600
574,336,1590
580,332,1588
583,333,1584
595,322,1583
604,331,1565
611,332,1557
610,343,1547
607,347,1546
598,358,1544
586,360,1554
571,370,1559
561,356,1583
556,347,1597
552,340,1608
545,339,1616
543,326,1631
538,320,1642
534,315,1651
530,316,1654
529,312,1659
525,317,1658
528,309,1663
531,312,1657
536,312,1652
542,315,1643
552,314,1634
557,316,1627
561,318,1621
564,322,1614
566,326,1608
566,332,1602
571,329,1600
578,328,1594
584,327,1589
587,333,1580
594,336,1570
596,344,1560
593,345,1562
590,347,1563
583,351,1566
576,352,1572
568,357,1575
559,361,1580
558,342,1600
560,333,1607
563,332,1605
561,327,1612
559,324,1617
555,323,1622
554,320,1626
548,325,1627
552,313,1635
553,316,1631
560,313,1627
568,313,1619
584,313,1603
591,319,1590
601,319,1580
604,325,1571
610,328,1562
608,343,1549
614,342,1544
613,347,1540
621,343,1536
621,350,1529
622,347,1531
617,354,1529
615,354,1531
603,364,1533
594,360,1546
582,362,1556
579,346,1575
572,343,1585
574,333,1593
569,332,1599
571,323,1606
568,326,1606
570,322,1608
567,327,1606
569,320,1611
565,318,1617
568,314,1618
568,317,1615
572,317,1611
575,320,1605
586,319,1595
597,315,1588
607,316,1577
614,323,1563
621,328,1551
622,343,1535
628,349,1523
625,358,1517
624,351,1525
623,353,1524
625,354,1521
616,364,1520
609,361,1530
598,362,1540
592,350,1558
586,348,1566
581,347,1572
576,340,1584
572,332,1596
566,331,1603
566,327,1607
564,322,1614
566,314,1620
564,302,1634
568,299,1633
567,305,1628
571,306,1623
571,313,1616
576,313,1611
583,308,1609
593,311,1596
601,317,1582
